INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
Kettering College,572,OH,39.695052,-84.192006,0.3441,0.5,0.7302,67492,3095475
Lake Erie College,662,OH,41.717841,-81.251817,0.541,0.4201,0.6559,50417,40887307
Lourdes University,749,OH,41.710009,-83.706108,0.6044,0.5,0.6441,48150,10337286
Malone University,818,OH,40.825662,-81.376863,0.7756,0.5113,0.7318,48909,25218779
Marietta College,1064,OH,39.41668,-81.450045,0.8285,0.5041,0.6372,57180,105582107
Mercy College of Ohio,1106,OH,41.658319,-83.552538,0.4619,0.5238,0.7692,65409,27300030
Miami University-Oxford,16721,OH,39.507757,-84.732954,0.8792,0.8069,0.886,55076,725430000
Mount Carmel College of Nursing,628,OH,39.956625,-83.021501,0.6341,0.6465,0.6842,75103,2310127
University of Mount Union,1867,OH,40.905256,-81.111029,0.7575,0.6193,0.7821,53217,173640000
Mount Vernon Nazarene University,1481,OH,40.372901,-82.471074,0.8533,0.686,0.7031,49555,28782576
Mount Saint Joseph University,1045,OH,39.095893,-84.639453,0.5435,0.5083,0.6915,51509,74171001
Muskingum University,1436,OH,39.996585,-81.737127,0.8639,0.5975,0.6777,48440,93833500
Notre Dame College,1067,OH,41.506894,-81.516617,0.7853,0.4211,0.6227,49737,13516952
Oberlin College,2986,OH,41.291992,-82.216795,0.3487,0.8346,0.8656,58343,1348962569
Ohio Dominican University,795,OH,39.992764,-82.940689,0.5242,0.5066,0.5778,51748,23482671
Ohio Northern University,2402,OH,40.7662,-83.827441,0.5437,0.7241,0.8033,80928,196204911
Ohio State University-Main Campus,45140,OH,39.999324,-83.014853,0.5272,0.8801,0.9339,60409,7017185469
Ohio University-Main Campus,17611,OH,39.326798,-82.100985,0.8652,0.6506,0.7893,52581,746955805
Ohio Wesleyan University,1401,OH,40.295963,-83.069757,0.5218,0.6605,0.8187,55624,307932456
Otterbein University,2097,OH,40.125327,-82.936444,0.8368,0.6941,0.7852,53313,122803410
Franciscan University of Steubenville,2605,OH,40.376919,-80.620524,0.6665,0.7627,0.858,50030,84499780
Tiffin University,1985,OH,41.118316,-83.184197,0.8284,0.4525,0.5981,35942,18993601
University of Toledo,10787,OH,41.660572,-83.614714,0.9223,0.5485,0.7522,50632,381418862
Ursuline College,618,OH,41.497035,-81.465118,0.8508,0.4811,0.6942,56878,52196050
Walsh University,1454,OH,40.873908,-81.369931,0.7251,0.5849,0.7552,59764,39241367
