INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
University of Alabama at Birmingham,12776,AL,33.505697,-86.799345,0.8668,0.6442,0.8243,54501,711616804
University of Alabama in Huntsville,6985,AL,34.724557,-86.640449,0.781,0.6295,0.8018,61767,100321016
Alabama State University,3296,AL,32.364317,-86.295677,0.966,0.2773,0.596,34502,130589167
The University of Alabama,31360,AL,33.211875,-87.545978,0.8006,0.7276,0.8668,59221,1237611651
Auburn University at Montgomery,3307,AL,32.36736,-86.177544,0.9223,0.3584,0.7016,44391,64217660
Auburn University,25234,AL,32.599378,-85.488258,0.4374,0.8075,0.9261,65337,993955140
Birmingham-Southern College,968,AL,33.513774,-86.850552,0.5717,0.6463,0.7746,59481,53984787
Faulkner University,1587,AL,32.384181,-86.21641,0.8241,0.33,0.6316,43457,21332492
Huntingdon College,810,AL,32.351034,-86.284366,0.6595,0.5018,0.648,49601,60206711
Heritage Christian University,72,AL,34.856153,-87.663051,1,0,1,42597,15150265
Jacksonville State University,7066,AL,33.822938,-85.765321,0.7846,0.5224,0.6566,45235,15173146
University of West Alabama,2424,AL,32.588132,-88.186329,0.6886,0.3846,0.691,44232,428978
University of Mobile,1108,AL,30.793247,-88.128934,0.8408,0.4574,0.68,43611,20155794
University of Montevallo,2128,AL,33.10625,-86.865099,0.5984,0.5476,0.7322,42957,31054586
University of North Alabama,5408,AL,34.80731,-87.680407,0.9568,0.523,0.7635,45415,50431808
Oakwood University,1378,AL,34.756344,-86.652705,0.6805,0.4667,0.7706,42488,26286780
Samford University,3668,AL,33.464128,-86.791799,0.8326,0.7779,0.9096,58469,368437572
University of South Alabama,8171,AL,30.696033,-88.178711,0.6536,0.4767,0.6878,49379,548311000
Spring Hill College,932,AL,30.694751,-88.138199,0.7263,0.6156,0.8093,51500,22433426
Stillman College,727,AL,33.200006,-87.585278,0.6454,0.248,0.633,35421,22181481
Troy University,10316,AL,31.799583,-85.95802,0.9484,0.4552,0.7477,42062,192154272
Tuskegee University,2100,AL,32.4309,-85.708492,0.2969,0.6728,0.756,49641,154987957
Arizona State University Campus Immersion,64778,AZ,33.417721,-111.934383,0.8975,0.669,0.8536,62668,1035665824
University of Arizona,37979,AZ,32.232672,-110.950815,0.8676,0.6793,0.8564,59979,1265827492
Embry-Riddle Aeronautical University-Prescott,3114,AZ,34.616766,-112.449741,0.68,0.7062,0.7823,84131,73862000
Northern Arizona University,23090,AZ,35.188449,-111.653724,0.79990000000000006,0.5912,0.7594,54384,272227419
Prescott College,313,AZ,34.5452,-112.477185,0.9838,0.5532,0.5278,42359,2417535
Arizona Christian University,1028,AZ,33.622952,-112.181776,0.7014,0.4531,0.6033,51612,576455
University of Arkansas at Little Rock,4802,AR,34.723254,-92.339778,0.6146,0.4193,0.7452,45265,173419237
Lyon College,489,AR,35.777619,-91.625354,0.5984,0.3831,0.5072,44232,108524843
University of Arkansas,26002,AR,36.070009,-94.176981,0.7893,0.6919,0.8558,58191,1682003955
University of Arkansas at Pine Bluff,2155,AR,34.244031,-92.018683,0.6933,0.4115,0.5891,35550,8144917
Arkansas State University,7463,AR,35.842388,-90.679988,0.6951,0.5281,0.7756,42617,103761286
Arkansas Tech University,6108,AR,35.293237,-93.13562,0.9439,0.4887,0.6289,41766,63150376
University of Central Arkansas,7563,AR,35.077945,-92.457672,0.9121,0.5008,0.7413,45938,56022534
Central Baptist College,489,AR,35.083838,-92.445021,0.6394,0.392,0.6261,46789,4425483
Harding University,3198,AR,35.247386,-91.726143,0.4512,0.6947,0.8443,52876,215620486
Henderson State University,1800,AR,34.128155,-93.059703,0.7066,0.3922,0.5718,43459,26733633
Hendrix College,1127,AR,35.101565,-92.443256,0.6028,0.6857,0.7905,60376,239600607
John Brown University,1354,AR,36.189812,-94.560283,0.5664,0.7121,0.8445,53907,168713795
Ouachita Baptist University,1587,AR,34.126093,-93.052471,0.7232,0.6506,0.7897,51673,145465427
University of the Ozarks,767,AR,35.476278,-93.467221,0.6008,0.4096,0.6853,44384,135708990
Williams Baptist University,556,AR,36.125676,-90.940277,0.5931,0.4495,0.5789,38484,14246058
Southern Arkansas University Main Campus,2787,AR,33.291618,-93.235922,0.6361,0.4454,0.7054,42386,56871295
Art Center College of Design,2113,CA,34.169031,-118.185102,0.7097,0.7547,0.8587,71958,133281000
Azusa Pacific University,3344,CA,34.130047,-117.888375,0.87,0.6127,0.7788,66677,100257631
Biola University,3474,CA,33.906203,-118.014374,0.5663,0.7206,0.8432,56778,183701962
California Baptist University,8077,CA,33.929321,-117.425619,0.7992,0.6325,0.725,61504,103827086
California College of the Arts,1134,CA,37.767485,-122.399451,0.7569,0.7216,0.7847,49414,48581000
California Institute of Technology,982,CA,34.137349,-118.125878,0.0269,0.9404,0.9814,128566,4022359000
California Lutheran University,2510,CA,34.224566,-118.878924,0.8718,0.732,0.8102,68712,145735309
California Polytechnic State University-San Luis Obispo,20976,CA,35.299513,-120.65731100000001,0.3043,0.8547,0.9397,90768,287263401
California State University-Bakersfield,8108,CA,35.350005,-119.104711,0.8655,0.4969,0.7291,59009,36234619
California State University-Stanislaus,8836,CA,37.52577,-120.852511,0.9661,0.5526,0.8078,63188,19952255
California State University-San Bernardino,16712,CA,34.182622,-117.323801,0.9108,0.5442,0.8008,59977,55847119
California State Polytechnic University-Pomona,25080,CA,34.057912,-117.821476,0.5538,0.6632,0.8668,71902,165967403
California State University-Chico,12853,CA,39.729712,-121.844859,0.95,0.6418,0.7986,64172,90007504
California State University-Dominguez Hills,13903,CA,33.864766,-118.255917,0.8913,0.4646,0.7021,57162,18223221
California State University-Fresno,20985,CA,36.811154,-119.744569,0.9543,0.5623,0.7571,61244,208774969
California State University-Fullerton,35249,CA,33.881506,-117.885446,0.6672,0.693,0.8551,62951,106015057
California State University-East Bay,10709,CA,37.657694,-122.054135,0.962,0.4552,0.7492,71401,20765213
California State University-Long Beach,32780,CA,33.782818,-118.11204,0.3995,0.7265,0.8544,64403,109666865
California State University-Los Angeles,22690,CA,34.066927,-118.168965,0.8694,0.5143,0.7348,59211,63636268
California State University-Northridge,32103,CA,34.240126,-118.529319,0.9123,0.5599,0.747,59115,174274264
California State University-Sacramento,28544,CA,38.559415,-121.423549,0.9321,0.5446,0.8024,64876,73709374
University of California-Berkeley,32475,CA,37.871918,-122.260463,0.1133,0.9403,0.9588,92446,2985932000
University of California-Davis,31512,CA,38.539667,-121.749567,0.3734,0.8634,0.919,80838,643190000
University of California-Irvine,28651,CA,33.648434,-117.841248,0.2115,0.8661,0.9127,80735,762109000
University of California-Los Angeles,32423,CA,34.07178,-118.442179,0.0857,0.9248,0.9656,82511,3161977000
University of California-Riverside,22842,CA,33.97246,-117.32741,0.6869,0.7602,0.8735,67699,259599000
University of California-San Diego,33092,CA,32.877749,-117.235866,0.2371,0.8773,0.9339,84943,1258061000
University of California-Santa Barbara,23419,CA,34.416297,-119.846426,0.2585,0.8567,0.9236,74915,377817000
University of California-Santa Cruz,17502,CA,36.995584,-122.058801,0.4692,0.7691,0.8797,68396,155697000
California Institute of the Arts,931,CA,34.39327,-118.566837,0.2476,0.6382,0.848,41198,234418752
California State University Maritime Academy,808,CA,38.069061,-122.231551,0.955,0.6314,0.7282,94784,13514934
Chapman University,7665,CA,33.79302,-117.852518,0.7252,0.8363,0.9129,70070,564411000
Concordia University-Irvine,1691,CA,33.653665,-117.812305,0.6899,0.6305,0.695,65083,44436329
Claremont McKenna College,1383,CA,34.102154,-117.711188,0.1035,0.9128,0.9579,104736,1313226000
Dominican University of California,1139,CA,37.981279,-122.512051,0.9318,0.7893,0.8525,84713,34890809
Fresno Pacific University,1743,CA,36.726831,-119.735199,0.75,0.5024,0.7538,58896,21733785
Harvey Mudd College,906,CA,34.106515,-117.709837,0.1336,0.9202,0.9733,138687,443743590
Holy Names University,564,CA,37.802276,-122.187804,1,0.5368,0.6465,76410,65883224
California State Polytechnic University-Humboldt,5373,CA,40.877481,-124.078293,0.9818,0.4555,0.7406,47626,36335250
Life Pacific University,395,CA,34.098705,-117.829388,0.9448,0.4667,0.6897,43299,4787112
University of La Verne,3363,CA,34.100855,-117.773262,0.7351,0.6322,0.769,65464,146560560
Laguna College of Art and Design,729,CA,33.561448,-117.772564,0.8837,0.631,0.7851,47867,3863034
La Sierra University,1216,CA,33.910704,-117.500054,0.9185,0.5385,0.7641,61824,23441032
The Master's University and Seminary,1496,CA,34.381755,-118.518193,0.7818,0.7326,0.861,57106,48079806
Loyola Marymount University,7138,CA,33.97085,-118.415744,0.4131,0.8152,0.8773,78349,623508000
Menlo College,786,CA,37.453475,-122.190797,0.6172,0.5695,0.7095,76419,29216495
Mount Saint Mary's University,1778,CA,34.085315,-118.482879,0.7576,0.5959,0.772,72379,180781895
Occidental College,1935,CA,34.127124,-118.210908,0.394,0.8267,0.8897,75951,575809817
Otis College of Art and Design,1264,CA,33.956607,-118.416615,0.8329,0.6158,0.7625,58152,24557904
Hope International University,590,CA,33.87616,-117.88573,0.3222,0.5,0.6042,49697,9530225
Pacific Union College,772,CA,38.570585,-122.440308,0.4846,0.4661,0.75,70484,34745313
University of the Pacific,3266,CA,37.981424,-121.312301,0.9323,0.7372,0.8768,78445,625143890
Pepperdine University,3656,CA,34.037786,-118.707077,0.4871,0.8398,0.8837,82939,1145292000
Pitzer College,1212,CA,34.104107,-117.706675,0.184,0.8545,0.888,69512,179391175
Point Loma Nazarene University,3149,CA,32.718391,-117.250265,0.8193,0.7593,0.8459,63998,70249099
Pomona College,1699,CA,34.099027,-117.714556,0.0702,0.9463,0.9623,77779,3031446000
University of Redlands,2301,CA,34.064218,-117.163218,0.8187,0.669,0.7964,72690,259218537
San Diego State University,31810,CA,32.77525,-117.071228,0.3926,0.7801,0.8941,64909,418056006
University of San Diego,5569,CA,32.770816,-117.192073,0.5261,0.8262,0.9029,86522,692916000
San Francisco State University,21035,CA,37.721224,-122.476799,0.942,0.5469,0.8489,68077,181666299
University of San Francisco,5980,CA,37.776618,-122.450477,0.7118,0.7437,0.8093,89812,581569000
William Jessup University,1123,CA,38.819728,-121.292312,0.6592,0.5152,0.6706,56257,5330426
San Jose State University,26735,CA,37.336569,-121.880621,0.7671,0.6842,0.8513,78988,197133502
Santa Clara University,6103,CA,37.348362,-121.93784,0.5211,0.8852,0.9189,109183,1537642000
Scripps College,1073,CA,34.104147,-117.711294,0.2791,0.8407,0.9051,77539,540008783
Shasta Bible College and Graduate School,24,CA,40.566034,-122.314419,1,0.5,0,28891,25000
Saint Mary's College of California,1994,CA,37.840731,-122.109031,0.8789,0.7206,0.8602,78812,215804000
Sonoma State University,5892,CA,38.340274,-122.677066,0.94,0.597,0.7584,65986,45936172
Vanguard University of Southern California,2001,CA,33.662686,-117.900911,0.7484,0.5951,0.7227,59541,10119935
Southern California Institute of Architecture,245,CA,34.044215,-118.232799,0.5984,0.8571,0.7667,71909,5947000
University of Southern California,20505,CA,34.021281,-118.284169,0.1202,0.925,0.9655,92498,8126222000
Thomas Aquinas College,516,CA,34.429009,-119.087141,0.8473,0.8506,0.916,55619,32002602
Westmont College,1284,CA,34.450151,-119.662517,0.8199,0.7356,0.861,64778,95147951
Whittier College,1124,CA,33.978773,-118.032299,0.7545,0.6557,0.696,59492,143477085
Woodbury University,868,CA,34.208011,-118.341147,0.626,0.5481,0.713,65668,23307341
Adams State University,1307,CO,37.473636,-105.879642,0.9918,0.28,0.568,44372,62673
Colorado College,2174,CO,38.84886,-104.822697,0.163,0.8609,0.9144,65222,908636719
Colorado School of Mines,5662,CO,39.751443,-105.223364,0.58,0.8181,0.9362,97335,359223868
Colorado State University-Fort Collins,25150,CO,40.574805,-105.080732,0.9077,0.6662,0.8622,60543,578090016
University of Denver,5986,CO,39.678005,-104.963259,0.7768,0.7745,0.88,71155,1039771673
Fort Lewis College,3113,CO,37.275939,-107.867422,0.9098,0.3877,0.5947,46349,14817348
Colorado Mesa University,7654,CO,39.080643,-108.553275,0.8176,0.3915,0.7599,45823,49369041
Metropolitan State University of Denver,14947,CO,39.744202,-105.00504,0.9791,0.2898,0.628,52093,23175418
Naropa University,338,CO,40.014235,-105.266987,1,0.3103,0.5926,28720,3420916
University of Northern Colorado,6024,CO,40.410855,-104.692777,0.7854,0.5191,0.7518,52231,113678094
Regis University,2239,CO,39.788175,-105.030756,0.7609,0.668,0.7248,72105,87776856
Colorado State University Pueblo,3008,CO,38.30859,-104.579033,0.9879,0.3505,0.6241,55563,29817965
Western Colorado University,1673,CO,38.549936,-106.919132,0.9185,0.4698,0.767,46833,10191734
Albertus Magnus College,978,CT,41.332519,-72.923848,0.805,0.4961,0.7027,60144,34550522
University of Bridgeport,1604,CT,41.164741,-73.190166,0.8151,0.4689,0.6766,50323,7000
Central Connecticut State University,7500,CT,41.692502,-72.765991,0.7671,0.5347,0.7653,58562,99377963
Connecticut College,1915,CT,41.379833,-72.107321,0.404,0.8411,0.872,75001,434553000
University of Connecticut,18768,CT,41.809098,-72.249948,0.5451,0.8318,0.9095,73997,571194053
Eastern Connecticut State University,3534,CT,41.721673,-72.218753,0.7383,0.6006,0.8321,56469,18987957
Fairfield University,4706,CT,41.157673,-73.255903,0.5218,0.8419,0.9108,88794,411345000
University of Hartford,3876,CT,41.798591,-72.715213,0.8275,0.5694,0.7438,60823,232738000
Mitchell College,480,CT,41.328013,-72.09523,0.7684,0.6218,0.6481,39115,9530459
University of New Haven,4765,CT,41.291314,-72.961472,0.9124,0.621,0.7396,60126,94617538
Quinnipiac University,6021,CT,41.418915,-72.894117,0.8379,0.7726,0.878,83759,824411508
Sacred Heart University,6729,CT,41.220893,-73.243332,0.6571,0.7292,0.8461,75059,245516767
University of Saint Joseph,821,CT,41.781041,-72.72965,0.7485,0.608,0.7796,59908,45085000
Southern Connecticut State University,6246,CT,41.333225,-72.947897,0.8292,0.5322,0.7321,55043,37148061
Trinity College,2141,CT,41.747451,-72.690882,0.3614,0.8357,0.9002,90779,795206957
Wesleyan University,3006,CT,41.554665,-72.657146,0.1443,0.9315,0.9538,73897,1669796000
Western Connecticut State University,3679,CT,41.400365,-73.444264,0.8351,0.5121,0.745,59115,26564963
Yale University,6639,CT,41.311158,-72.926688,0.0457,0.9781,0.981,100533,42282852000
Delaware State University,4588,DE,39.187173,-75.54053,0.5492,0.4548,0.7514,49307,40596772
University of Delaware,18665,DE,39.679577,-75.752822,0.7381,0.7961,0.9093,72950,1957793296
Goldey-Beacom College,617,DE,39.741501,-75.689624,0.6272,0.6709,0.7154,59892,194801276
American University,7669,DC,38.936005,-77.088875,0.4063,0.7943,0.8625,77370,884305000
The Catholic University of America,2958,DC,38.933651,-76.997909,0.8559,0.7635,0.877,73250,341804586
Gallaudet University,910,DC,38.907371,-76.993675,0.5921,0.4367,0.7285,43101,232869006
George Washington University,10798,DC,38.89923,-77.048363,0.4898,0.848,0.8957,90873,2411272000
Georgetown University,7343,DC,38.908809,-77.073463,0.1223,0.9561,0.9658,103494,2592048000
Howard University,9243,DC,38.922392,-77.018966,0.5343,0.7,0.8817,63066,806419000
Trinity Washington University,1369,DC,38.927398,-77.004261,0.9697,0.3801,0.6898,53804,47419689
The Baptist College of Florida,254,FL,30.962708,-85.503931,0.9211,0.5938,0.7391,42836,8450912
Barry University,2539,FL,25.878908,-80.198925,0.5963,0.3904,0.5588,55966,54487883
Bethune-Cookman University,2628,FL,29.207195,-81.032946,0.8497,0.3471,0.5136,38518,34996645
Lynn University,2789,FL,26.385985,-80.122806,0.8011,0.5209,0.7404,49006,38790567
Johnson University Florida,154,FL,28.302547,-81.363053,0.7931,0.4857,0.4848,40596,1670154
University of Central Florida,57874,FL,28.602159,-81.200889,0.4104,0.7558,0.9299,58308,198559038
Eckerd College,1986,FL,27.715798,-82.687043,0.6509,0.6754,0.7686,51819,81121309
Edward Waters University,1142,FL,30.34479,-81.684879,0.8354,0.303,0.5865,34782,4151208
Embry-Riddle Aeronautical University-Daytona Beach,7155,FL,29.189903,-81.048367,0.6453,0.6348,0.818,84131,164826000
Florida Agricultural and Mechanical University,7436,FL,30.428504,-84.290226,0.3293,0.6041,0.8982,44349,92852706
Florida Atlantic University,23074,FL,26.372421,-80.102978,0.8132,0.6214,0.8088,56746,375146137
Flagler College,2591,FL,29.892733,-81.314887,0.8095,0.5717,0.6927,49483,83206439
Florida College,550,FL,28.034936,-82.383289,0.7168,0.6761,0.6968,43445,19635436
AdventHealth University,917,FL,28.576142,-81.367687,0.3372,0.5469,0.6667,72282,9875753
Florida Institute of Technology,3114,FL,28.065815,-80.622893,0.6437,0.6702,0.7544,43137,110850056
Florida International University,39277,FL,25.75732,-80.373928,0.6386,0.6918,0.9056,60249,276410044
Florida Memorial University,1098,FL,25.918278,-80.270753,0.6994,0.3547,0.5375,36624,6013894
Florida Southern College,2702,FL,28.032443,-81.948203,0.5661,0.6812,0.774,55294,111809685
Florida State University,32691,FL,30.443147,-84.295064,0.2504,0.8479,0.9393,61675,897762598
University of Florida,33673,FL,29.64629,-82.347911,0.2335,0.9001,0.9657,71588,2375793000
Jacksonville University,2541,FL,30.353227,-81.60458,0.5769,0.5313,0.6349,68010,59216191
University of Miami,12215,FL,25.72126,-80.278662,0.1894,0.8411,0.921,75328,1393436637
University of North Florida,13866,FL,30.27194,-81.509144,0.705,0.6767,0.8009,56343,141106152
Nova Southeastern University,6885,FL,26.079337,-80.24248,0.758,0.6198,0.7759,59209,226994000
Palm Beach Atlantic University,2396,FL,26.7044,-80.05247,0.9466,0.5631,0.761,49232,97750000
Ringling College of Art and Design,1704,FL,27.360931,-82.547803,0.647,0.7662,0.8392,43325,63982310
Rollins College,2567,FL,28.592787,-81.349239,0.4999,0.777,0.8579,58295,460276000
Saint Leo University,6717,FL,28.336776,-82.257801,0.801,0.4934,0.5445,48364,92347642
University of South Florida,36763,FL,28.061458,-82.413232,0.4393,0.7412,0.8957,57743,692741042
St. Thomas University,1896,FL,25.922071,-80.253273,0.6515,0.4264,0.5263,54272,40042465
Stetson University,2517,FL,29.035475,-81.300746,0.938,0.6366,0.675,51642,387215324
Southeastern University,4931,FL,28.029733,-81.918382,0.6086,0.4267,0.6674,46744,10050766
The University of Tampa,9593,FL,27.948455,-82.46483,0.2635,0.6572,0.8058,59436,58215971
Trinity Baptist College,319,FL,30.311171,-81.79626,0.4959,0.2892,0.5068,37275,113899
Trinity College of Florida,175,FL,28.194732,-82.678318,0.5977,0.04,0.2941,32465,825648
Warner University,738,FL,27.825751,-81.599972,0.551,0.4045,0.4578,46086,6907619
Webber International University,1093,FL,27.838778,-81.532315,0.4897,0.3277,0.6695,45606,6863658
The University of West Florida,8806,FL,30.549076,-87.218511,0.4803,0.5306,0.8507,49137,100513345
Abraham Baldwin Agricultural College,3160,GA,31.481889,-83.528281,0.6696,0.3971,0.6285,34996,21693997
Agnes Scott College,923,GA,33.769268,-84.295459,0.6652,0.7684,0.7907,56274,247192299
Andrew College,242,GA,31.772321,-84.795021,0.4963,0.2368,0.6923,38475,9881145
Point University,1041,GA,32.87912,-85.184931,0.242,0.2555,0.6923,38740,4923245
Clark Atlanta University,3419,GA,33.747628,-84.412584,0.5626,0.462,0.7076,42712,102435884
Berry College,2232,GA,34.290414,-85.189202,0.6631,0.6473,0.8313,53800,1212852600
Brenau University,1184,GA,34.303117,-83.821513,0.8655,0.457,0.554,54003,61256728
Brewton-Parker College,646,GA,32.185718,-82.586136,0.9476,0.1974,0.408,42009,8818597
College of Coastal Georgia,2812,GA,31.181983,-81.486169,0.9833,0.2292,0.581,39318,10583326
Clayton  State University,4540,GA,33.594079,-84.328174,0.5632,0.3449,0.5978,49179,19068017
Columbus State University,5637,GA,32.50096,-84.94106,0.878,0.434,0.6526,44544,93388136
Covenant College,808,GA,34.965161,-85.375066,0.8413,0.7396,0.768,50412,58567097
Emmanuel College,730,GA,34.283641,-83.14822,0.6266,0.3739,0.6471,38208,1806609
Emory University,7017,GA,33.790183,-84.325512,0.1135,0.8999,0.9521,80137,12218692520
Fort Valley State University,2347,GA,32.537595,-83.89537,0.4309,0.4555,0.6731,36666,13000000
Georgia Institute of Technology-Main Campus,17379,GA,33.77242,-84.394832,0.1713,0.926,0.9786,102772,2971501257
Georgia Southwestern State University,2092,GA,32.054662,-84.217738,0.7318,0.3621,0.5973,48757,42214736
Georgia College & State University,5185,GA,33.082787,-83.231962,0.7995,0.6237,0.8015,58140,65814122
Georgia Southern University,20996,GA,32.426153,-81.784045,0.8889,0.5274,0.7197,53236,101163961
Georgia State University,28439,GA,33.7527,-84.38667,0.6678,0.549,0.7826,47384,241254286
University of Georgia,30566,GA,33.956262,-83.374039,0.4255,0.8811,0.943,68726,1818866444
Gordon State College,2663,GA,33.04571,-84.154508,0.9332,0.2267,0.5417,37871,4933982
LaGrange College,597,GA,33.038564,-85.043113,0.5912,0.5064,0.622,51745,61084679
Life University,910,GA,33.932781,-84.514729,0.9777,0.3125,0.6982,47397,3356258
Mercer University,4568,GA,32.829134,-83.649392,0.7468,0.7351,0.855,58354,475458642
Morehouse College,2564,GA,33.745982,-84.414917,0.6001,0.5898,0.7981,52889,278037237
Oglethorpe University,1426,GA,33.875441,-84.333687,0.7099,0.571,0.7624,55232,46136756
Paine College,299,GA,33.469545,-81.993225,0.5151,0.1782,0.6056,33338,13814535
Piedmont University,1212,GA,34.566042,-83.542126,0.6435,0.4835,0.6789,49130,54955833
Reinhardt University,1014,GA,34.319756,-84.554264,0.6233,0.3743,0.5748,46541,46691079
Savannah College of Art and Design,13352,GA,32.072964,-81.09395,0.8173,0.7253,0.8103,45954,258231000
Shorter University,1121,GA,34.257543,-85.196529,0.9747,0.3186,0.7175,44604,14260643
Spelman College,3098,GA,33.745279,-84.411527,0.2839,0.7401,0.8942,59993,570846842
Thomas University,726,GA,30.815576,-83.963587,0.4609,0.6703,0.3556,49716,7018289
Toccoa Falls College,835,GA,34.593414,-83.357617,0.6801,0.4638,0.5964,36630,3960877
Truett McConnell University,828,GA,34.596306,-83.748911,0.8083,0.4633,0.6904,46700,6913578
Valdosta State University,7277,GA,30.847402,-83.289282,0.8947,0.4031,0.5906,49361,66312563
Wesleyan College,510,GA,32.876037,-83.715417,0.668,0.4563,0.6306,44317,66391792
University of West Georgia,7939,GA,33.573621,-85.097762,0.8012,0.4324,0.7331,49587,41076084
Young Harris College,837,GA,34.933523,-83.84587,0.7729,0.4923,0.6788,47195,136070081
Boise Bible College,95,ID,43.658651,-116.291321,1,0.4688,0.7222,33140,1175706
Boise State University,16979,ID,43.604284,-116.203301,0.8393,0.5968,0.7927,51658,155297053
University of Idaho,7120,ID,46.727406,-117.014167,0.7385,0.611,0.7378,54670,373800913
The College of Idaho,1052,ID,43.652284,-116.677992,0.4552,0.5992,0.7577,48473,125768516
Lewis-Clark State College,2344,ID,46.412199,-117.024875,0.8677,0.3516,0.63,46001,11723557
Northwest Nazarene University,1115,ID,43.562411,-116.565783,0.8819,0.5817,0.7216,51719,61223056
Brigham Young University-Idaho,42213,ID,43.818408,-111.782431,0.9556,0.5382,0.6792,53406,143350000
School of the Art Institute of Chicago,2819,IL,41.88105,-87.625758,0.7896,0.6677,0.7906,40151,352315000
Augustana College,2274,IL,41.502365,-90.55057,0.6122,0.7762,0.8086,62971,215416774
Aurora University,3987,IL,41.753631,-88.349023,0.819,0.5975,0.7271,58709,52544153
Blackburn College,342,IL,39.287896,-89.870241,0.6437,0.3571,0.375,46802,33195180
Bradley University,4133,IL,40.696896,-89.616786,0.7514,0.761,0.8258,66852,387323869
Chicago State University,1364,IL,41.718446,-87.609384,0.4851,0.2763,0.551,42778,9731021
University of Chicago,7511,IL,41.787994,-87.599539,0.0543,0.9558,0.9898,91885,9594956009
Columbia College Chicago,6378,IL,41.874261,-87.624667,0.9477,0.4723,0.672,42195,235614524
Concordia University-Chicago,1285,IL,41.898696,-87.809482,0.9304,0.4832,0.5777,54089,30580635
DePaul University,13968,IL,41.877618,-87.62724,0.7017,0.6935,0.8409,68751,956892000
Eastern Illinois University,4586,IL,39.479843,-88.175658,0.6796,0.5464,0.7147,51989,62760242
Elmhurst University,2897,IL,41.897164,-87.945369,0.7601,0.6352,0.8038,61462,155413572
Eureka College,544,IL,40.71482,-89.269624,0.8672,0.5359,0.5678,51641,37679041
Governors State University,2589,IL,41.449103,-87.716441,0.5748,0.2066,0.5585,58169,2867314
Greenville University,902,IL,38.894162,-89.40824,0.9412,0.575,0.7621,46827,31676358
Hebrew Theological College,73,IL,42.010103,-87.760874,0.7143,0.2045,0.9167,33291,1331924
University of Illinois Chicago,21567,IL,41.871837,-87.650503,0.7869,0.6162,0.7832,68740,567960582
Benedictine University,2026,IL,41.777569,-88.097307,0.9312,0.5344,0.674,63446,40689284
University of Illinois Urbana-Champaign,34031,IL,40.104718,-88.229114,0.4482,0.8469,0.9332,81054,2375506407
Illinois Wesleyan University,1518,IL,40.489901,-88.992014,0.4222,0.7948,0.8245,70871,272717515
Illinois College,1011,IL,39.7313,-90.246171,0.7718,0.6735,0.7258,52575,155486965
Illinois Institute of Technology,2877,IL,41.8313,-87.627321,0.6144,0.75,0.8471,82592,302661000
Illinois State University,18019,IL,40.509403,-88.990058,0.86240000000000006,0.6698,0.8032,62117,201100618
Judson University,781,IL,42.061754,-88.291336,0.582,0.5311,0.6145,56313,7599735
Knox College,1051,IL,40.943064,-90.373165,0.7332,0.7457,0.8185,54820,211136074
Lake Forest College,1724,IL,42.249574,-87.827454,0.5972,0.7778,0.851,61825,104553727
Lewis University,3650,IL,41.605432,-88.079032,0.7406,0.6231,0.8082,66099,105743452
Loyola University Chicago,11626,IL,42.000765,-87.656872,0.7915,0.7087,0.8127,71530,928702115
McKendree University,1528,IL,38.608154,-89.816822,0.6835,0.5548,0.754,58572,39993414
Methodist College,433,IL,40.7804,-89.682864,0.3333,0.7368,1,69800,2501078
Millikin University,1603,IL,39.842612,-88.976298,0.754,0.5779,0.7017,51262,111503642
Monmouth College,761,IL,40.914824,-90.63731,0.907,0.5684,0.7654,51110,146245258
Moody Bible Institute,1716,IL,41.897822,-87.633459,0.9414,0.6066,0.7483,45399,43255280
National Louis University,3791,IL,41.880093,-87.624699,0.9205,0.3067,0.6117,45799,44899294
North Central College,2304,IL,41.77576,-88.14279,0.6087,0.6333,0.7695,60123,144883225
North Park University,1866,IL,41.975268,-87.709948,0.6801,0.55,0.7091,59572,94935405
Northern Illinois University,11408,IL,41.933869,-88.766428,0.7068,0.5308,0.653,57808,103524309
Northwestern University,8837,IL,42.050356,-87.679858,0.0721,0.9652,0.9779,89363,11361182000
Northeastern Illinois University,4058,IL,41.980399,-87.718983,0.627,0.1867,0.6274,52234,12705271
Olivet Nazarene University,2460,IL,41.155237,-87.875165,0.578,0.6662,0.7652,53213,57656845
Quincy University,1027,IL,39.938898,-91.385975,0.617,0.5,0.6897,50369,21500083
Rockford University,908,IL,42.270639,-89.019536,0.5491,0.4014,0.6386,54794,30001378
Roosevelt University,2362,IL,41.876055,-87.624952,0.8832,0.4257,0.6028,48712,168358153
Dominican University,2119,IL,41.902678,-87.823003,0.8953,0.587,0.7484,60327,51368595
University of St Francis,1390,IL,41.532225,-88.096057,0.5842,0.6495,0.7129,63926,28041418
Saint Xavier University,2963,IL,41.707199,-87.714749,0.8413,0.5276,0.7087,58656,34523423
University of Illinois Springfield,2348,IL,39.729524,-89.616796,0.8203,0.5322,0.7577,57103,24920231
Southern Illinois University-Carbondale,7922,IL,37.714193,-89.217273,0.915,0.4934,0.7032,53390,195224587
Southern Illinois University-Edwardsville,9283,IL,38.793949,-89.997779,0.9751,0.5352,0.7051,56346,36849269
Trinity Christian College,783,IL,41.667687,-87.783973,0.7068,0.6875,0.7654,55700,17928263
