CouncilDistrict,CrimeAgainst,ReportMonthYear,CrimeCount
NA,Person,June 2019,15
4,Society,June 2019,69
3,Society,June 2019,24
1,Person,July 2019,246
1,Society,July 2019,59
3,Person,July 2019,151
2,Person,July 2019,168
3,Property,July 2019,1057
NA,Person,July 2019,19
NA,Property,July 2019,83
4,Person,July 2019,194
2,Property,July 2019,1003
4,Property,July 2019,1001
1,Property,July 2019,1002
4,Society,July 2019,83
3,Society,July 2019,61
3,Property,August 2019,971
1,Person,August 2019,231
1,Society,August 2019,75
1,Property,August 2019,918
3,Person,August 2019,181
2,Property,August 2019,962
4,Person,August 2019,231
2,Person,August 2019,175
NA,Person,August 2019,10
4,Society,August 2019,81
2,Society,August 2019,33
3,Society,August 2019,45
4,Property,August 2019,1050
NA,Society,July 2019,2
1,Person,September 2019,217
2,Property,September 2019,950
2,Person,September 2019,170
3,Person,September 2019,139
1,Property,September 2019,957
NA,Person,September 2019,17
4,Person,September 2019,208
3,Property,September 2019,983
3,Society,September 2019,34
NA,Property,September 2019,57
4,Property,September 2019,978
4,Society,September 2019,65
1,Society,September 2019,60
2,Person,October 2019,180
4,Person,October 2019,180
3,Person,October 2019,170
3,Property,October 2019,1057
1,Person,October 2019,239
2,Property,October 2019,1054
1,Property,October 2019,975
4,Society,October 2019,54
NA,Person,October 2019,14
4,Property,October 2019,937
3,Society,October 2019,42
2,Society,October 2019,25
NA,Property,October 2019,64
1,Society,October 2019,74
1,Person,November 2019,243
3,Person,November 2019,149
2,Person,November 2019,121
4,Person,November 2019,163
2,Society,November 2019,30
2,Property,November 2019,1094
NA,Person,November 2019,38
1,Property,November 2019,904
3,Property,November 2019,927
1,Society,November 2019,62
3,Society,November 2019,36
4,Property,November 2019,979
NA,Property,November 2019,78
NA,Society,November 2019,14
4,Society,November 2019,54
2,Property,December 2019,1135
1,Person,December 2019,226
4,Person,December 2019,176
2,Person,December 2019,144
1,Society,December 2019,55
3,Person,December 2019,134
1,Property,December 2019,988
NA,Person,December 2019,21
NA,Property,December 2019,133
NA,Society,December 2019,16
4,Society,December 2019,48
3,Property,December 2019,1092
4,Property,December 2019,1044
2,Society,December 2019,24
3,Society,December 2019,36
2,Society,September 2019,20
2,Society,July 2019,30
4,Society,March 2019,82
4,Society,February 2019,86
4,Society,January 2019,55
NA,Property,June 2019,67
NA,Property,April 2019,55
NA,Property,August 2019,67
NA,Society,January 2019,5
NA,Society,September 2019,3
NA,Society,October 2019,3
1,Not a Crime,January 2019,1
NA,Society,May 2019,1
NA,Society,June 2019,1
4,Not a Crime,November 2019,1
1,Person,January 2020,241
4,Person,January 2020,176
4,Property,January 2020,992
2,Person,January 2020,150
3,Person,January 2020,155
2,Property,January 2020,1126
NA,Person,January 2020,30
3,Property,January 2020,1060
1,Property,January 2020,1043
4,Society,January 2020,60
1,Society,January 2020,75
3,Society,January 2020,41
2,Society,January 2020,22
NA,Property,January 2020,110
NA,Society,January 2020,23
4,Person,February 2020,154
1,Person,February 2020,230
1,Society,February 2020,90
3,Person,February 2020,153
2,Person,February 2020,163
3,Property,February 2020,959
NA,Person,February 2020,26
3,Society,February 2020,34
2,Property,February 2020,1055
1,Property,February 2020,951
4,Property,February 2020,962
1,Person,March 2020,230
1,Society,March 2020,65
2,Person,March 2020,159
4,Person,March 2020,139
NA,Person,March 2020,27
NA,Property,February 2020,115
NA,Society,February 2020,10
3,Property,March 2020,954
3,Person,March 2020,129
4,Property,March 2020,866
1,Property,March 2020,929
4,Society,March 2020,36
2,Property,March 2020,912
2,Society,March 2020,23
NA,Property,March 2020,96
3,Society,March 2020,39
3,Person,April 2020,135
1,Person,April 2020,197
1,Property,April 2020,893
2,Person,April 2020,146
4,Person,April 2020,128
4,Property,April 2020,913
3,Property,April 2020,930
2,Property,April 2020,890
4,Society,April 2020,48
1,Society,April 2020,87
NA,Person,April 2020,15
3,Society,April 2020,57
2,Society,April 2020,28
2,Person,May 2020,164
1,Person,May 2020,232
4,Person,May 2020,144
3,Person,May 2020,151
1,Property,May 2020,812
NA,Person,May 2020,25
NA,Society,April 2020,13
1,Society,May 2020,83
2,Property,May 2020,862
NA,Property,May 2020,95
3,Property,May 2020,899
4,Property,May 2020,1028
4,Society,May 2020,106
NA,Property,April 2020,72
2,Society,May 2020,21
3,Society,May 2020,54
2,Person,June 2020,112
1,Person,June 2020,217
1,Property,June 2020,741
4,Person,June 2020,171
3,Property,June 2020,840
3,Person,June 2020,118
4,Society,June 2020,40
1,Society,June 2020,28
4,Property,June 2020,1019
2,Property,June 2020,807
NA,Person,June 2020,26
3,Society,June 2020,14
2,Society,June 2020,12
NA,Property,June 2020,56
3,Person,July 2020,127
2,Person,July 2020,172
2,Property,July 2020,912
2,Society,July 2020,18
4,Person,July 2020,197
1,Person,July 2020,241
1,Property,July 2020,944
4,Society,July 2020,35
NA,Person,July 2020,23
4,Property,July 2020,1105
3,Property,July 2020,982
1,Society,July 2020,36
3,Society,July 2020,15
2,Person,August 2020,187
1,Person,August 2020,238
3,Person,August 2020,136
2,Property,August 2020,1079
4,Person,August 2020,190
3,Property,August 2020,1131
NA,Person,August 2020,21
1,Property,August 2020,1047
4,Property,August 2020,1214
1,Property,November 2020,1007
1,Society,August 2020,40
2,Society,August 2020,12
3,Society,August 2020,18
1,Person,September 2020,262
3,Person,September 2020,130
4,Person,September 2020,181
3,Property,September 2020,1158
1,Property,September 2020,1071
2,Person,September 2020,186
4,Society,September 2020,33
2,Property,September 2020,1032
3,Society,September 2020,26
2,Society,September 2020,24
4,Property,September 2020,1127
NA,Person,September 2020,25
1,Society,September 2020,45
NA,Property,September 2020,78
2,Person,October 2020,203
3,Person,October 2020,142
3,Property,October 2020,1237
NA,Person,October 2020,24
1,Person,October 2020,229
4,Person,October 2020,198
4,Property,October 2020,1187
2,Property,October 2020,1104
4,Society,October 2020,23
1,Property,October 2020,1086
1,Society,October 2020,64
3,Society,October 2020,31
2,Society,October 2020,25
NA,Society,October 2020,6
1,Person,November 2020,211
2,Person,November 2020,167
3,Person,November 2020,126
4,Person,November 2020,157
2,Property,November 2020,1044
1,Society,November 2020,45
3,Property,November 2020,1146
NA,Person,November 2020,26
4,Property,November 2020,1078
3,Society,November 2020,15
2,Society,November 2020,32
1,Person,December 2020,220
1,Property,December 2020,921
3,Person,December 2020,117
NA,Person,December 2020,21
4,Person,December 2020,128
4,Society,December 2020,19
2,Person,December 2020,174
4,Property,December 2020,907
2,Society,December 2020,16
2,Property,December 2020,1024
1,Society,December 2020,44
3,Property,December 2020,1095
3,Society,December 2020,19
NA,Property,December 2020,68
NA,Property,August 2020,83
