time_stamp,humidity,temperature,pressure,scattering_coefficient,pm1.0_atm,pm2.5_atm,pm10.0_atm
2024-05-05T00:00:00Z,58.65,63.313,1018.406,7.6,2.1239999999999997,3.4139999999999997,4.542
2024-05-06T00:00:00Z,57.772,72.535,1010.895,28.6,9.983,18.9615,22.1685
2024-05-07T00:00:00Z,46.421,79.298,1003.538,20.8,7.5805,10.768,11.4235
2024-05-08T00:00:00Z,47.317,83.678,997.942,32.4,12.023,17.5805,18.805500000000002
2024-05-09T00:00:00Z,36.635,78.265,999.871,5.6,1.184,1.6415,1.9485000000000001
2024-05-10T00:00:00Z,57.049,64.314,1001.691,4.6,0.8525,1.2974999999999999,1.807
2024-05-11T00:00:00Z,47.754,64.789,1004.749,7.4,2.012,2.8665000000000003,3.3274999999999997
2024-05-12T00:00:00Z,52.249,62.933,1006.417,8.1,2.311,3.1355000000000004,3.6295
2024-05-13T00:00:00Z,51.369,66.366,1011.757,15.4,5.3395,6.9845,7.5915
2024-05-14T00:00:00Z,50.404,73.497,1010.061,18,6.292999999999999,7.7455,8.337
2024-05-15T00:00:00Z,59.504,73.019,1004.678,12.8,4.231,5.4030000000000005,5.855
2024-05-16T00:00:00Z,58.749,72.322,999.99,4.9,0.9309999999999999,1.2320000000000002,1.435
2024-05-17T00:00:00Z,51.227,75.363,1007.788,11.1,3.464,4.4955,5.003500000000001
2024-05-18T00:00:00Z,53.829,74.749,1009.057,25.4,9.515,12.184000000000001,12.875499999999999
2024-05-19T00:00:00Z,52.365,77.04,1009.412,20.4,7.317,10.775,11.5115
2024-05-20T00:00:00Z,49.093,76.676,1011.084,9.5,2.8064999999999998,3.645,4.0365
2024-05-21T00:00:00Z,47.926,79.672,1009.974,19.5,6.882,10.128499999999999,10.967
2024-05-22T00:00:00Z,44.214,85.117,1008.595,23.6,8.396,10.626000000000001,11.0975
2024-05-23T00:00:00Z,49.339,84.555,1006.26,20.3,7.269500000000001,9.3945,10.061
2024-05-24T00:00:00Z,40.835,85.09,1005.171,20.6,7.2364999999999995,9.587499999999999,10.159500000000001
2024-05-25T00:00:00Z,36.535,83.709,1004.994,20,7.0255,9.1205,9.625
2024-05-26T00:00:00Z,46.452,86.18,1006.027,44.4,16.666,21.994500000000002,22.852
2024-05-27T00:00:00Z,57.064,83.354,1004.381,22.3,8.279499999999999,10.8555,11.5145
2024-05-28T00:00:00Z,47.833,83.69,1001.408,16.3,5.5115,7.6075,8.2265
2024-05-29T00:00:00Z,42.666,79.449,1006.504,6.4,1.4809999999999999,1.877,2.088
2024-05-30T00:00:00Z,48.267,73.408,1008.652,8.6,2.4395,3.4865,3.8825000000000003
2024-05-31T00:00:00Z,30.697,75.229,1013.941,9,2.656,3.892,4.248
2024-06-01T00:00:00Z,28.734,79.847,1015.403,12.5,4.014,5.502,5.85
2024-06-02T00:00:00Z,38.084,81.295,1012.075,26.1,9.437999999999999,12.2595,12.814
2024-06-03T00:00:00Z,39.257,86.789,1007.484,37.4,13.823,17.064500000000002,17.539
2024-06-04T00:00:00Z,44.36,86.388,1009.136,50.4,18.062,23.3405,25.142
2024-06-05T00:00:00Z,52.119,83.042,1007.644,40.1,15.219999999999999,20.386499999999998,21.5275
2024-06-06T00:00:00Z,55.215,87.072,996.9,34.4,13.472999999999999,17.455,18.121499999999997
2024-06-07T00:00:00Z,42.84,86.576,996.195,13.9,4.4215,5.715,6.2005
2024-06-08T00:00:00Z,35.05,81.13,1002.079,4.8,0.7310000000000001,0.9444999999999999,1.1105
2024-06-09T00:00:00Z,41.253,81.195,998.621,12.7,3.9835000000000003,4.7925,5.0835
2024-06-10T00:00:00Z,36.742,78.699,998.773,7.4,1.789,2.1675,2.3595
2024-06-11T00:00:00Z,41.085,77.637,1006.066,10.9,3.4894999999999996,4.251,4.4399999999999995
2024-06-12T00:00:00Z,40.018,80.405,1010.49,15.6,5.4835,7.1415,7.4485
2024-06-13T00:00:00Z,42.594,83.162,1010.117,31.9,11.933,15.5215,16.1
2024-06-14T00:00:00Z,45.637,86.424,1006.719,34.6,13.152000000000001,16.147,16.6685
2024-06-15T00:00:00Z,45.757,81.817,1008.708,14.6,4.96,6.0969999999999995,6.417
2024-06-16T00:00:00Z,35.175,81.455,1016.109,17.2,6.0489999999999995,7.6834999999999996,7.9995
2024-06-17T00:00:00Z,46.446,85.189,1016.214,28.2,10.4115,12.961500000000001,13.447
2024-06-18T00:00:00Z,44.485,90.201,1017.303,27.5,9.8665,12.235,12.8545
2024-06-19T00:00:00Z,43.619,90.443,1020.669,22.6,7.839,9.663499999999999,10.1975
2024-06-20T00:00:00Z,42.327,91.124,1020.308,20.4,6.823,8.222000000000001,8.836
2024-06-21T00:00:00Z,41.054,94.407,1016.039,26.2,9.1625,10.9985,11.7125
2024-06-22T00:00:00Z,44.715,94.36,1010.834,38.8,13.9815,17.944499999999998,18.998
2024-06-23T00:00:00Z,51.551,91.998,1002.864,41.2,15.272,20.183,21.145
2024-06-24T00:00:00Z,42.585,87.788,998.573,19.9,7.0555,8.9605,9.348500000000001
2024-06-25T00:00:00Z,30.313,87.654,1006.188,29.5,10.993500000000001,13.7535,14.1295
2024-06-26T00:00:00Z,37.435,92.865,1002.842,37.2,13.8765,17.1495,17.639000000000003
2024-06-27T00:00:00Z,48.558,86.906,1001.905,13.6,4.243,5.2725,5.696
2024-06-28T00:00:00Z,33.446,81.855,1012.613,10.3,3.1195,4.13,4.7305
2024-06-29T00:00:00Z,44.495,84.063,1015.148,11.8,3.5675,4.582,5.1915
2024-06-30T00:00:00Z,58.586,89.115,1008.353,26.5,10.0295,12.973500000000001,13.735
2024-07-01T00:00:00Z,41.75,83.503,1009.997,7.7,2.0415,2.4975,2.691
2024-07-02T00:00:00Z,36.05,84.843,1016.764,9.9,2.732,3.2865,3.534
2024-07-03T00:00:00Z,39.292,85.679,1016.447,17.8,5.932499999999999,7.015000000000001,7.362500000000001
2024-07-04T00:00:00Z,43.579,88.299,1009.34,29.9,10.336,12.9345,13.4745
2024-07-05T00:00:00Z,53.403,92.412,1003.729,46.2,16.865000000000002,22.602,24.159
2024-07-06T00:00:00Z,54.597,94.021,1004.102,104,32.2345,44.3605,47.6085
2024-07-07T00:00:00Z,45.781,94.513,1008.288,31.1,11.366,14.428,14.882
2024-07-08T00:00:00Z,45.742,94.772,1010.529,43.2,16.0975,20.624499999999998,21.252499999999998
2024-07-09T00:00:00Z,48.608,94.999,1009.018,61,21.012999999999998,29.2225,32.433
2024-07-10T00:00:00Z,49.743,94.806,1005.557,27.5,10.155000000000001,12.781500000000001,13.4235
2024-07-11T00:00:00Z,48.031,91.376,1006.345,9.4,2.518,3.2409999999999997,3.729
2024-07-12T00:00:00Z,51.753,88.692,1014.475,17.3,6.1594999999999995,7.752,8.017
2024-07-13T00:00:00Z,51.173,91.764,1014.975,9.5,2.6304999999999996,3.3810000000000002,3.765
2024-07-14T00:00:00Z,55.145,91.358,1011.322,25.6,9.1875,11.7355,12.2475
2024-07-15T00:00:00Z,51.153,93.078,1006.487,37.9,13.873000000000001,18.2085,18.991999999999997
2024-07-16T00:00:00Z,42.912,97.382,1003.289,47.5,17.366,23.1725,23.979
2024-07-17T00:00:00Z,53.483,94.135,1004.009,36.9,13.720500000000001,18.4875,19.387500000000003
2024-07-18T00:00:00Z,55.386,87.597,1006.229,27.6,42.786500000000004,45.941500000000005,46.581
2024-07-19T00:00:00Z,40.472,86.083,1012.474,16,5.464,7.6335,8.0215
2024-07-20T00:00:00Z,46.229,86.493,1013.666,23.4,8.5715,11.6095,12.076
2024-07-21T00:00:00Z,47.459,89.384,1011.017,29.9,11.2675,15.244,15.719999999999999
