date,Midwest,National,Northeast,South,West,date_period
2023-01-28,5.733082233508087,5.810762435295668,6.939568542768418,6.855175892172792,4.505639981662516,All Results
2023-02-04,5.628329460298515,6.1621668145539585,6.525815735044469,7.062978676067115,6.187919450418414,All Results
2023-02-11,5.967880468113252,6.078945073840021,4.750881194095492,6.8454096385032885,6.698849059207093,All Results
2023-02-18,6.927079409044913,6.261954680964408,5.448054849408595,5.520714991317014,7.0919313267645245,All Results
2023-02-25,6.4090694488161795,5.803014865706193,5.5199120233202255,4.132096091427258,7.059459761621152,All Results
2023-03-04,5.69614438677034,5.130712916530619,3.8700616941906274,3.772283059502174,6.095056497846111,All Results
2023-03-11,5.710906027745543,4.461449284729309,2.588377405959765,2.8073662862430484,5.707166702774481,All Results
2023-03-18,5.761886538804804,4.719977429200735,3.446541546285425,3.0188311124701697,5.956478734386096,All Results
2023-03-25,5.351458397220757,4.398854568523185,2.8509592278121567,3.708442165349462,5.212993706351808,All Results
2023-04-01,4.278642291651939,3.454869425450381,1.7790814289363448,3.016076264718109,4.431597405299395,All Results
2023-04-08,3.9989437343104903,2.906398528234499,1.5201604851075228,2.3982282819201903,3.480570382790161,All Results
2023-04-15,3.2814538493444827,2.7872200163035217,1.436284140372826,2.1727872644053066,3.307204278028473,All Results
2023-04-22,3.027137273623414,2.169037808987981,1.0989904545886278,1.794793074781549,2.6548953187249427,All Results
2023-04-29,2.256709179014104,1.8932402515521307,1.2190076812039727,1.6992133588930387,2.260486304009823,All Results
2023-05-06,2.3098695976932246,2.0603316374720855,1.4597102124062658,1.9078794558685783,2.552135433914953,All Results
2023-05-13,2.2801301857528333,1.9605158163646832,1.241097103907209,1.7752181027562024,2.2406121066502833,All Results
2023-05-20,1.8101746350214067,1.6857019399199205,1.0698353224637875,1.577257178302445,2.1225381632488087,All Results
2023-05-27,1.7707785793762527,1.582617234456552,1.0878456235350114,1.494680624753586,1.675523150763255,All Results
2023-06-03,1.2743535931663266,1.2900195959065313,1,1.4230159768711803,1.5797893179158744,All Results
2023-06-10,1.0864428606825127,1.138646516176122,1,1.2472849208234236,1.391954293123164,All Results
2023-06-17,1.1551558915293152,1.1576788075152558,1.04080577888338,1.2035274219865697,1.2862721305524127,All Results
2023-06-24,1.0224863464207947,1.196547037641302,1.0437961879975086,1.3780653027734684,1.6119501017649096,All Results
2023-07-01,1.181935210432578,1.3439497083096312,1.10145021336695,1.650728048794117,1.831898254490667,All Results
2023-07-08,1.3002285215589755,1.62777267849039,1.393916900828527,1.9468637251844747,1.9619550066801583,All Results
2023-07-15,1.3834936353374578,1.8385247226763484,1.803540457742861,1.97433022311029,2.699695006115098,All Results
2023-07-22,1.6020766929436392,2.0944354448040565,1.9736436545132363,2.283038262323507,3.3716899078024776,All Results
2023-07-29,1.8170680745217684,2.664723757834546,2.4804085713156496,3.2080077062330665,4.316615405004535,All Results
2023-08-05,2.2445748555364684,3.219004888523928,2.712087163360411,3.857487913339993,5.182891289303807,All Results
2023-08-12,2.878400885904999,3.915837096153184,3.3132532324388317,4.47456568820833,5.836060151808037,All Results
2023-08-19,3.819520268672024,4.365150781989631,3.166297496044802,5.144897009778413,6.282127938400568,All Results
2023-08-26,4.203128097233115,4.911088681220509,3.7030347811353623,5.993415822370455,6.230225464586425,All Results
2023-09-02,5.041219247355212,5.667109555989317,4.404553096071979,6.447540138249728,6.584033051275252,All Results
2023-09-09,5.873974645447274,6.23013794712403,5.777365024951527,6.656504439777173,6.496890838186547,All Results
2023-09-16,5.3336154299965886,5.581298336563864,6.289006217318851,4.77011363958222,6.022832455507064,All Results
2023-09-23,5.100747188319115,5.335142137569453,5.981587755354234,4.342041462167405,5.584220655133548,All Results
2023-09-30,4.552475244398596,5.027185691002783,6.8622894584238665,3.6330349685190177,5.201754635415533,All Results
2023-10-07,3.882982037376647,4.470744999084346,6.399845290413047,3.18609677000284,4.788229000060838,All Results
2023-10-14,3.4342516251386823,3.812816218117624,4.471399438133333,3.1601173256288515,5.272869550385898,All Results
2023-10-21,3.5943828632325907,3.867980874124069,4.304160694509534,3.1326604504932583,5.248569430969014,All Results
2023-10-28,4.246952833092968,4.057282530645036,4.194523977643025,3.157188020912779,4.300507047053929,All Results
2023-11-04,4.535344255240757,4.324996226823933,4.715395264325913,3.2453955078210743,4.686641570739526,All Results
2023-11-11,5.806161784189555,4.840767285642494,3.6575188277720536,3.5047961041971383,5.691429988353124,All Results
2023-11-18,6.629931964264177,5.233450517826906,4.406825488706284,3.635995928877021,6.083448893618835,All Results
2023-11-25,8.10241888564253,5.9461344923293,5.897046049322929,3.711466088703293,5.377990962311242,All Results
2023-12-02,10.869601249112122,7.543872750367493,6.661392265248704,5.62552455432858,6.576505699920335,All Results
2023-12-09,11.231829438049257,8.56161550651149,8.45412471196134,5.900493926472899,7.441908568356001,All Results
2023-12-16,12.154282252443922,9.699126790334187,10.418858284863823,7.26391375896316,7.600662059412432,All Results
2023-12-23,12.468779669890187,11.332135812278342,10.805867981458796,10.287098901446084,11.208890105427969,All Results
2023-12-30,15.041326370182588,13.426612343006465,12.929728642088524,12.98678838625147,12.257226896683356,All Results
2024-01-06,12.425384741094046,12.601811603967818,12.205137435950622,12.5397540019646,13.643099639832045,All Results
2024-01-13,11.066461228798754,10.167655750263858,9.378080346416656,10.3699923153957,9.724396029501577,All Results
2024-01-20,7.79187029917964,8.343013012719027,7.85165043335092,9.348648987773736,8.948431286955294,All Results
2024-01-27,7.115785795693027,8.139941387271605,8.393407334897603,10.953293144918169,7.920068741692402,All Results
2024-02-03,6.37041771200914,7.03480985462239,6.4383856651729126,9.967278677872674,6.828968284189888,All Results
2024-02-10,6.791036727762096,6.953178308804942,5.7017531929473595,9.369885592604504,6.630443962751051,All Results
2024-02-17,7.209281848879954,6.536217051443396,5.492529422851752,8.932921674184477,5.697578404357998,All Results
2024-02-24,6.548210369169889,5.9660128406673,4.3058141228994335,8.817641910813363,4.759540175411122,All Results
2024-03-02,6.254235937897212,4.929140502135585,3.577327224225451,7.302645031562483,3.5432182853031975,All Results
2024-03-09,4.701278619755595,4.044833405166035,2.279371892832998,5.1835177428913255,3.2061219480148937,All Results
2024-03-16,3.2007761546168245,2.936936866623526,1.6925591826859034,3.897049478241835,2.5148197223964006,All Results
2024-03-23,2.7045931694333283,2.517205887328763,1.7826466252270308,3.0887601804508993,2.2577888856359323,All Results
2024-03-30,2.6637444256417537,2.362090310291034,1.6965179031637887,2.685406628549082,1.618425590461163,All Results
2024-04-06,2.242539009842827,2.089119032784404,1.5872874167091564,2.421381384922199,1.653707067016438,All Results
2024-04-13,2.2204197053031676,1.8050910700295055,1.584164937420546,2.0641478045106307,1.3047389937259448,All Results
2024-04-20,1.7582588893911293,1.5193443770433257,1.438381965597992,1.5452661976832869,1.2965442269105347,All Results
2024-04-27,1.5333521417865454,1.3643779577860444,1.2204126561984834,1.4119608878319732,1.3110931186070105,All Results
2024-05-04,1.4699830715827769,1.3312541534872606,1.2907810234423118,1.324565718674041,1.23489104516246,All Results
2024-05-11,1.3956512524177604,1.3651880667851368,1.2608814434238869,1.3339119946101796,1.66827198110841,All Results
2024-05-18,1.3706906597278954,1.5308967218787606,1.3074786432672236,1.3922462323804092,2.1514968159076604,All Results
2024-05-25,1.44745531300306,1.664094906366939,1.3485067532115933,1.562430681684258,2.7356253664737595,All Results
2024-06-01,1.7122075253481344,1.9106928565582035,1.2868470267773366,1.740410434129595,3.4848848372041696,All Results
2024-06-08,1.8273383886266348,2.1725777827189843,1.3134884018481452,2.0445821222783978,4.260005049712997,All Results
2024-06-15,2.130540116729444,2.4218406322974317,1.5789865752692438,2.4168419479035124,4.418208330137432,All Results
2024-06-22,2.4150619474407033,2.985629414470222,1.807407957599009,3.27072397975427,6.859163858942073,All Results
2024-06-29,2.87087518230957,3.816592549576697,2.6601998116038725,3.857518796064416,7.063934802971327,All Results
2024-07-06,3.292357127031482,4.42062876724401,2.837947637133438,4.599449337342172,7.097103724800597,All Results
2024-07-13,4.572478858614835,5.478219405459412,3.4638549270124224,5.839661053731842,9.591145121720835,All Results
2024-07-20,5.064799867137409,6.161440487989953,3.9187361423961855,7.591448437493616,9.632171574492336,All Results
2024-07-27,5.904697602589089,6.70368565042375,4.257951329359804,8.757136100290184,10.475335005236008,All Results
